Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month,PE Ratio TTM,EPS Forecast Next Qtr
LVMHF,LVMH-Moet Hennessy Louis Vuitton,534.555,USD,-0.2695895522388153,1114,0.509793153944719,265721805562.97256,USD,Consumer non-durables,Buy,602.549581150701,627.6684216973764,642.5197748310933,-0.9533073929961265,-13.296189966424995,20.820039364651795,13.685030999999999
CICHF,China Construction Bank Corp.,0.976,USD,-4.163393558523173,24323,0.330234149493984,261363904555.54794,USD,Finance,Strong buy,0.9831725090998437,0.9855977817342049,0.9844039528346726,-0.20449897750511267,-5.2427184466019465,5.212160290377139,0.042888
BABAF,Alibaba Group Holding Limited,15.47,USD,-8.999999999999996,6743,0.26361159218586905,260255218509.48154,USD,Retail trade,Strong buy,18.249779111272996,18.841575106345616,19.020080790684517,-9.053497942386835,-17.817679558011054,17.02299216984725,0.1554564094
RYDAF,SHELL PLC,45.905,USD,0.360734586794926,25359,1.1401300231092248,258391434850.74393,USD,Energy minerals,Buy,41.575493049779276,40.13525249808342,38.89475046645433,0.03268685988232854,20.422350472193084,14.965249455206893,0.834268
UNH,UnitedHealth Group Incorporated,280.44,USD,-1.3681285829845555,5446840,0.8447333947280915,254548601189.2574,USD,Health services,Strong buy,292.4233092883797,300.6649687549526,310.14194794641054,-1.2465666596239242,-4.612244897959185,21.255438160348042,6.776133
PM,Philip Morris International Inc,163.37,USD,-1.6672685686770086,4450925,0.8855072900302694,254314739669.607,USD,Consumer non-durables,Strong buy,173.50568649641374,172.2359357206779,169.86540578463098,-7.444337431307001,-12.897206227340584,22.48943463238027,1.828726
MS/PI,Morgan Stanley Depository Shares Representing 1/1000th Preferred Series 1 Fixed to Floating Non (Cum),25.26,USD,-0.07911392405063122,68374,1.1241508118666026,252358614643.0,USD,Finance,,25.25321807872076,25.243305839322954,25.226637111768987,-0.2763521515988817,0.19833399444665098,2.475038948059456,2.945545
MS/PQ,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.625% Non-Cumulative Preferred Stock, Series Q",25.86,USD,-0.07727975270478969,26779,0.7701953746286214,252358614643.0,USD,Finance,,26.14637859443091,26.196271295942594,26.209955934300904,-0.9195402298850651,-1.9340159271899944,2.533828471766331,2.945545
MS/PA,Morgan Stanley Dep Shs repstg 1/1000 Pfd Ser A,19.44,USD,0.41322314049587733,100176,0.9828740746554947,252358614643.0,USD,Finance,,19.763701386670668,19.882172758147814,20.106361467160948,0.05146680391148515,-3.523573200992543,1.9047805681027643,2.945545
MS/PO,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.250% Non-Cumulative Preferred Stock, Series O",17.67,USD,0.1700680272108908,91304,0.37412588272220587,252358614643.0,USD,Finance,,17.796660211447815,17.820410329615665,17.8424570761664,-0.8417508417508337,-1.3950892857142856,1.7313514731674817,2.945545
MS/PE,Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E,25.57,USD,0.03912363067293256,77450,0.8120227597031215,252358614643.0,USD,Finance,,25.51797810911766,25.525532286181924,25.533445363927058,0.27450980392156976,0,2.505413535308008,2.945545
MS/PF,Morgan Stanley Dep Shs Rpstg 1/1000th Int Prd Ser F Fxd to Flag,25.4,USD,-0.039354584809136416,24516,0.4959640711294532,252358614643.0,USD,Finance,,25.341143672849622,25.33147773813575,25.32758428958636,-0.039354584809136416,0.27635215159889576,2.48875650359106,2.945545
MS/PP,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.500% Non-Cumulative Preferred Stock, Series P",25.48,USD,-0.07843137254901794,59115,1.4351331470480415,252358614643.0,USD,Finance,,25.6046938475962,25.621524025153274,25.63828516407742,-0.2739726027397271,-0.8174386920980959,2.4965951067519767,2.945545
MS/PL,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.875% Non-Cumulative Preferred Stock, Series L",20.47,USD,-0.1463414634146397,35002,0.9326281291216477,252358614643.0,USD,Finance,,20.732273765776792,20.76849568722152,20.788444723056983,-1.2065637065637065,-1.444390948483393,2.005702583799567,2.945545
MS/PK,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series K",24.24,USD,-0.08244023083265921,67683,1.5961578824489373,252358614643.0,USD,Finance,,24.559531368092284,24.602166004094656,24.591440820518706,-1.0208248264597797,-2.45472837022134,2.3750967577577673,2.945545
MS,Morgan Stanley,158.55,USD,-0.23909897439123856,6395450,0.9358127382441583,251755227783.60065,USD,Finance,Buy,165.96257578009988,168.40329649776336,167.67333461679658,1.3358046785120818,-8.113590263691684,15.535131639541834,2.945545
NSRGF,Nestle S.A.,96.4,USD,-1.8329938900203637,2200,0.7189072609633358,243818268172.54327,USD,Consumer non-durables,Buy,100.35365303858245,99.81965483695625,99.04840408289787,-4.846604632706907,-5.831786656246946,21.79405179917991,2.6563837
GS,"Goldman Sachs Group, Inc. (The)",809.5,USD,0.4990812931419752,1757549,0.769366842093467,240221490757.41855,USD,Finance,Buy,850.2111561307051,859.3670490103826,849.8285435611657,2.20959595959596,-10.821499785178414,15.779973176969621,15.918871
GS/PD,"Goldman Sachs Group, Inc. (The) Dep Shs repstg 1/1000 Pfd Ser D Fltg",19.33,USD,0.3113648157758107,107058,0.678634591613578,239028544009.0,USD,Finance,,19.714484154040292,19.81277930040226,19.973545037204552,-0.30943785456422007,-4.59032576505431,0.3768089950720479,15.918871
GS/PA,"Goldman Sachs Group, Inc. (The) Depositary Shares each representing 1/1000th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series A",19.69,USD,1.233933161953738,130949,2.0766272588152273,239028544009.0,USD,Finance,,19.903947301579677,19.996273889694855,20.18155587588636,-0.25329280648428143,-3.338242513500244,0.3838266483687855,15.918871
